la,612479
de,308999
kaj,219359
en,146802
al,96398
ne,68672
mi,57988
por,57813
li,56887
ke,53742
pri,47697
kiu,36394
sed,35664
kun,35437
ili,31607
el,31090
vi,31061
kiel,30966
tiu,27456
ni,24020
pli,23905
ĝi,22471
per,21727
oni,21579
sur,19173
tio,18990
aŭ,18563
ŝi,17522
da,17305
ĉi,16757
nur,15981
ĉar,15007
dum,14597
kiam,14568
unu,13842
se,13594
ĉu,13476
sia,13017
ĉe,12771
pro,12526
post,12173
inter,11752
ol,11610
laŭ,11235
jam,10781
eĉ,10555
tiel,10300
nun,10117
lia,10020
du,9960
mia,9934
ĝin,9783
sin,9667
tre,9465
ĝis,8888
lin,8791
do,7475
je,7465
tie,7172
min,7085
tiam,6731
mem,6688
kio,6674
via,6586
nia,6363
kie,5954
vin,5581
ja,5535
sen,5440
ĉiu,5403
jen,5291
iom,5052
dio,4923
ĉiam,4588
sub,4392
tri,4366
kies,4024
ĝia,3938
nek,3821
plu,3756
tuj,3754
si,3664
iu,3632
kvankam,3603
ĉio,3388
neniam,3329
tra,3270
ŝin,3176
tia,3075
ŝia,3073
dek,2942
tiom,2926
tro,2899
ho,2780
dua,2773
tial,2766
kial,2728
nin,2714
ajn,2626
jes,2260
apud,2223
super,2218
mil,2132
kvar,2099
krom,2043
ion,1965
ties,1945
iam,1870
kiom,1820
nu,1691
zamenhof,1602
iuj,1519
ino,1514
dudek,1472
io,1447
kia,1441
ia,1348
ĵus,1324
sep,1293
uzi,1226
ses,1206
ekster,1154
for,1148
iru,1090
des,1082
iri,1070
amo,1047
cent,1015
iun,1004
tridek,827
ian,807
ok,787
ege,785
po,785
eta,688
ĉia,686
ĉie,662
ene,635
trans,635
ha,565
kvin_dek,564
neniel,560
iel,552
kvar_dek,518
ree,507
uzo,490
oro,459
dank,443
naŭ,439
aĝo,412
ve,394
agi,383
ago,356
ie,355
ju,344
depost,340
aro,303
ducent,299
dia,293
ses_dek,288
ano,277
ora,270
preter,256
ĝui,254
due,243
sep_dek,240
ejo,236
tricent,223
igi,221
aĝa,194
kvin_cent,192
ilo,184
avo,182
oka,165
ido,152
ami,146
ok_dek,145
sam_kiel,145
neniom,144
ek,139
teo,133
kvar_cent,131
far,126
ĉies,126
iĝi,125
ci,123
ial,123
uzu,121
agu,120
leo,119
emo,116
iaj,114
eco,114
ses_cent,113
ies,111
pia,94
nei,93
ero,86
ĉiel,84
ulo,78
naŭdek,74
sep_cent,73
eĥo,70
ok_cent,70
ien,68
amu,68
mal_kiel,66
ame,59
cia,59
ekstrem,59
aĉa,58
ĝuo,55
ina,55
ĝuu,55
ega,54
die,53
fia,52
ama,49
aĵo,44
ovo,44
naŭcent,43
iĝu,41
ujo,39
ade,38
alo,36
hej,35
ena,33
ema,32
nenies,30
kelk_cent,27
na,26
lui,25
ĝue,23
iro,23
tea,23
duo,22
alies,22
odo,21
kelk_dek,19
pie,18
ŝuo,18
are,15
eri,14
pio,14
ore,13
ana,13
ona,13
eno,13
cin,13
fie,12
dek_sep,12
aĉe,11
ete,11
ĉea,11
dumil,11
nee,10
mio,10
ioj,10
plur_cent,10
dek_kvar,10
igu,9
rea,9
eko,9
dek_ses,9
ope,8
vie,8
eĥe,8
eli,8
uro,8
neo,8
opo,8
oto,8
kelk_mil,8
luo,7
rei,7
ira,7
geo,7
poe,7
aĝe,7
ego,7
apo,7
trimil,7
ono,6
eni,6
eki,6
eca,6
ari,6
iĝo,6
ita,6
ada,5
ĝua,5
aso,5
reu,5
